date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors,Rafael Nadal,Roger Federer,Andy Murray,Jannik Sinner,Boris Becker,Guillermo Vilas,Carlos Alcaraz,Rod Laver,Stefan Edberg,Pete Sampras,Arthur Ashe,Mats Wilander,Andre Agassi,Ilie Nastase,Stan Smith,Vitas Gerulaitis,Gene Mayer,Ken Rosewall,John Newcombe,Brian Gottfried,Daniil Medvedev,Jose Luis Clerc,Tom Okker,David Ferrer,Jim Courier,Juan Martin del Potro,Alexander Zverev,Eddie Dibbs,Manuel Orantes,Miloslav Mecir,Kei Nishikori,Lleyton Hewitt,Joakim Nystrom,Gustavo Kuerten,Raul Ramirez
1968-03-27,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1531.1667044730307,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1555.5921606158302,1554.4340892605844,1500.0,1500.0,1500.0,1489.2103344869488,1500.0,1500.0,1500.0,1614.1184064020913,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-03-28,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1531.1667044730307,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1555.5921606158302,1554.4340892605844,1500.0,1500.0,1500.0,1480.0645320232807,1500.0,1500.0,1500.0,1614.1184064020913,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-01,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1531.1667044730307,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1555.5921606158302,1554.4340892605844,1500.0,1500.0,1500.0,1489.397591821324,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-05,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1531.1667044730307,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1555.5921606158302,1554.4340892605844,1500.0,1500.0,1500.0,1497.037716967711,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-08,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1531.1667044730307,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1577.2071781200111,1554.4340892605844,1500.0,1500.0,1500.0,1497.037716967711,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-10,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1539.6550031452653,1500.0,1500.0,1578.8164097913761,1500.0,1500.0,1577.2071781200111,1554.4340892605844,1500.0,1500.0,1510.336146385416,1497.037716967711,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1523.8801068965063,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-15,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1539.6550031452653,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1575.7604966641447,1554.4340892605844,1500.0,1500.0,1510.336146385416,1497.037716967711,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-16,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1539.379685923427,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1575.7604966641447,1554.4340892605844,1500.0,1500.0,1519.8589073111434,1497.037716967711,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-17,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.519663717055,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1575.7604966641447,1554.4340892605844,1500.0,1500.0,1538.912408710986,1497.037716967711,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-20,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.519663717055,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1575.7604966641447,1554.4340892605844,1500.0,1500.0,1538.912408710986,1503.7011843626105,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-22,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.211651929528,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1575.7604966641447,1554.4340892605844,1500.0,1500.0,1572.9744582488129,1503.7011843626105,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-28,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.211651929528,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1583.7244304130488,1554.4340892605844,1500.0,1500.0,1572.9744582488129,1503.7011843626105,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-04-29,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.211651929528,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1611.7961590901757,1554.4340892605844,1500.0,1500.0,1572.9744582488129,1503.7011843626105,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-02,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1594.123490293929,1500.0,1500.0,1612.458060157419,1500.0,1500.0,1611.7961590901757,1554.4340892605844,1500.0,1500.0,1578.812643403694,1503.7011843626105,1500.0,1500.0,1500.0,1615.5701633580861,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-03,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1594.123490293929,1500.0,1500.0,1629.8278815966985,1500.0,1500.0,1611.7961590901757,1554.4340892605844,1500.0,1500.0,1578.812643403694,1503.7011843626105,1500.0,1500.0,1500.0,1657.1683278721234,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-04,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1594.123490293929,1500.0,1500.0,1629.8278815966985,1500.0,1500.0,1611.7961590901757,1554.4340892605844,1500.0,1500.0,1578.812643403694,1529.9394115511116,1500.0,1500.0,1500.0,1657.1683278721234,1500.0,1500.0,1500.0,1500.0,1500.0,1549.0497016559234,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-06,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1594.123490293929,1500.0,1500.0,1629.8278815966985,1500.0,1500.0,1615.4482427959908,1596.44189552094,1500.0,1500.0,1578.812643403694,1529.9394115511116,1500.0,1500.0,1500.0,1679.4199663404163,1500.0,1500.0,1500.0,1500.0,1500.0,1568.5411807216988,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1968-05-10,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1594.123490293929,1500.0,1500.0,1629.8278815966985,1500.0,1500.0,1615.4482427959908,1596.44189552094,1500.0,1500.0,1578.812643403694,1521.5117753461936,1500.0,1500.0,1500.0,1679.4199663404163,1500.0,1500.0,1500.0,1500.0,1500.0,1568.5411807216988,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
