date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors
1980-03-10,2313.4065624613236,2163.6620073429503,1500.0,1786.3311662594424,2207.4453733711416
1980-03-17,2313.4065624613236,2139.439134892463,1500.0,1781.4668177102374,2207.4453733711416
1980-03-24,2322.1525679166734,2141.590066478983,1500.0,1783.211650088351,2207.4453733711416
1980-03-31,2322.75204387579,2151.026169566819,1500.0,1800.8741210063395,2208.7443138352855
1980-04-07,2322.75204387579,2151.026169566819,1500.0,1835.9191487559876,2208.7443138352855
1980-04-14,2322.75204387579,2151.026169566819,1500.0,1842.7708366066847,2208.7443138352855
1980-04-22,2337.142267141441,2147.56686527193,1500.0,1856.1120966401813,2208.7443138352855
1980-04-28,2337.142267141441,2138.8458904009185,1500.0,1862.9511866257305,2197.5488008351685
1980-05-05,2341.126322796137,2136.9154677560314,1500.0,1857.8349996587028,2193.0516840099294
1980-05-12,2341.126322796137,2136.9154677560314,1500.0,1884.456166975959,2193.0516840099294
1980-05-19,2341.126322796137,2136.9154677560314,1500.0,1884.6049049063704,2193.0516840099294
1980-05-26,2337.6444378412607,2135.501952780907,1500.0,1892.8056990723417,2199.741702713602
1980-06-09,2337.6444378412607,2133.930104543832,1500.0,1892.8056990723417,2199.741702713602
1980-06-10,2338.48212354675,2133.930104543832,1500.0,1892.8056990723417,2199.741702713602
1980-06-13,2338.48212354675,2133.930104543832,1500.0,1892.7685072420634,2199.741702713602
1980-06-23,2338.663518542692,2136.058926498555,1500.0,1897.8514533982973,2190.3959279483774
1980-07-11,2338.663518542692,2136.058926498555,1500.0,1893.1121222533793,2190.3959279483774
1980-07-14,2338.663518542692,2136.058926498555,1500.0,1893.1121222533793,2178.806110225691
1980-07-21,2338.663518542692,2136.058926498555,1500.0,1893.8100737254633,2179.337664237248
1980-07-27,2338.663518542692,2136.058926498555,1500.0,1912.3399321894885,2167.333436910171
1980-07-28,2338.663518542692,2147.43635758322,1500.0,1912.3399321894885,2167.333436910171
1980-08-04,2338.663518542692,2147.43635758322,1500.0,1914.059675925946,2167.333436910171
1980-08-11,2335.3931799772186,2122.8556933048303,1500.0,1917.8010261125269,2167.333436910171
1980-08-18,2335.3931799772186,2108.248435722375,1500.0,1931.8924298258323,2166.8092521223216
1980-08-26,2335.4911499896343,2140.2295915868635,1500.0,1945.7222189755043,2167.0835060967756
1980-09-19,2335.4911499896343,2140.2295915868635,1500.0,1957.872782533125,2167.0835060967756
1980-09-22,2335.4911499896343,2141.0408726621076,1500.0,1957.872782533125,2152.618101705918
1980-09-29,2335.4911499896343,2141.0408726621076,1500.0,1959.6431188084105,2152.618101705918
1980-10-06,2335.4911499896343,2132.5372154406245,1500.0,1981.4777565666614,2152.618101705918
1980-10-13,2312.8798433020065,2149.970463551911,1500.0,1983.62485824574,2155.0341715607615
1980-10-20,2312.8798433020065,2149.970463551911,1500.0,2010.3919349943315,2155.0341715607615
1980-10-27,2313.0426161819296,2149.970463551911,1500.0,2017.8814996084293,2159.9230589023755
1980-11-03,2313.0426161819296,2149.970463551911,1500.0,2012.6702043069247,2159.9230589023755
1980-11-04,2298.8058942173084,2152.858122491444,1500.0,2012.6702043069247,2159.9230589023755
1980-11-10,2298.8058942173084,2154.2004808890524,1500.0,2030.9209482494036,2165.233164592929
1980-11-17,2293.728869210641,2154.2004808890524,1500.0,2024.0288429120685,2165.233164592929
1980-12-05,2293.728869210641,2154.2004808890524,1500.0,2027.3331986603478,2165.233164592929
1980-12-09,2293.728869210641,2176.628954796094,1500.0,2027.3331986603478,2165.233164592929
1980-12-15,2293.728869210641,2176.628954796094,1500.0,2029.3266264993006,2165.233164592929
1980-12-26,2293.728869210641,2176.628954796094,1500.0,2021.1116704909539,2165.233164592929
1981-01-14,2295.794173398014,2173.6429230111057,1500.0,2014.2544721026054,2148.2442359566503
1981-01-26,2295.794173398014,2173.6429230111057,1500.0,2014.2544721026054,2153.786030434162
1981-02-02,2295.794173398014,2173.6429230111057,1500.0,2026.368206199403,2153.786030434162
1981-02-13,2295.794173398014,2154.4907750548064,1500.0,2026.368206199403,2153.786030434162
1981-02-16,2295.794173398014,2154.4907750548064,1500.0,2041.4146951670616,2154.8812358180653
1981-02-23,2295.794173398014,2145.5213743136937,1500.0,2041.4146951670616,2154.8812358180653
1981-03-06,2295.794173398014,2145.8439906403974,1500.0,2043.948473165544,2154.8812358180653
1981-03-09,2279.6898678891107,2145.8439906403974,1500.0,2043.948473165544,2170.9044142477323
1981-03-16,2279.6898678891107,2145.8439906403974,1500.0,2043.948473165544,2174.240575555405
1981-03-23,2282.9630492234883,2150.322701830151,1500.0,2032.6757947952192,2174.240575555405
1981-03-30,2282.9630492234883,2177.8701083982746,1500.0,2034.4565466264123,2174.240575555405
1981-04-13,2256.2508865741943,2178.478520651291,1500.0,2034.4565466264123,2185.3260231984527
1981-04-20,2256.2508865741943,2178.478520651291,1500.0,2045.802975695688,2185.3260231984527
1981-04-28,2256.2508865741943,2193.2813048334915,1500.0,2045.802975695688,2185.3260231984527
1981-05-04,2256.2508865741943,2178.923301702872,1500.0,2059.9680248868276,2185.3260231984527
1981-05-11,2256.2508865741943,2178.923301702872,1500.0,2059.9680248868276,2196.7514586930943
1981-05-18,2256.2508865741943,2178.923301702872,1500.0,2061.968283412092,2196.7514586930943
1981-05-25,2256.7232566904586,2182.0498352763966,1500.0,2079.715285497362,2186.773584839871
1981-06-08,2256.7232566904586,2181.074126081761,1500.0,2079.715285497362,2186.773584839871
1981-06-22,2272.5445537437154,2182.178125241433,1500.0,2064.5175109393954,2180.4117146268545
1981-07-09,2272.5445537437154,2192.0538444368062,1500.0,2074.234771756734,2181.5121215403183
1981-07-13,2272.9241954047047,2192.0538444368062,1500.0,2074.7338665165435,2181.5121215403183
1981-07-20,2272.9241954047047,2192.0538444368062,1500.0,2076.7065247626538,2181.5121215403183
1981-07-28,2272.9241954047047,2192.0538444368062,1500.0,2068.6795181025195,2187.2301547934826
1981-08-03,2272.9241954047047,2192.0538444368062,1500.0,2069.3935291848534,2187.2301547934826
1981-08-10,2272.9241954047047,2196.131369699898,1500.0,2084.2857274869843,2162.9818696520506
1981-08-17,2272.9241954047047,2191.0859467628943,1500.0,2084.2857274869843,2164.1963660149786
1981-09-01,2277.8179688845175,2192.4937043008886,1500.0,2089.080446619021,2155.630059208092
1981-09-21,2278.0541797111114,2211.3179017266716,1500.0,2089.080446619021,2156.1177627252096
1981-09-29,2278.0541797111114,2211.3179017266716,1500.0,2085.460827640279,2156.1177627252096
1981-10-02,2278.0541797111114,2199.9987775730897,1500.0,2085.460827640279,2156.1177627252096
1981-10-05,2278.0541797111114,2199.9987775730897,1500.0,2085.883486525042,2156.1177627252096
1981-10-12,2278.0541797111114,2210.595262455883,1500.0,2114.5360709448755,2156.1177627252096
1981-10-19,2278.0541797111114,2210.595262455883,1500.0,2114.831040249539,2156.1177627252096
1981-10-26,2282.344906568096,2211.846152934381,1500.0,2130.926487308094,2156.1177627252096
1981-11-02,2282.344906568096,2211.846152934381,1500.0,2130.926487308094,2151.6302920548815
1981-11-09,2282.344906568096,2199.654801908042,1500.0,2130.926487308094,2143.0042208315485
1981-11-16,2282.344906568096,2199.654801908042,1500.0,2131.7279524569344,2143.0042208315485
1981-12-11,2282.344906568096,2205.451513648711,1500.0,2131.7279524569344,2143.0042208315485
1982-01-13,2282.344906568096,2193.8151127244028,1500.0,2162.6389832759346,2158.1879758008795
1982-01-25,2282.344906568096,2193.954041232064,1500.0,2173.172524052368,2145.4810819337918
1982-02-08,2282.344906568096,2208.946557550932,1500.0,2173.172524052368,2145.4810819337918
1982-02-15,2282.344906568096,2208.946557550932,1500.0,2176.0918978958744,2145.4810819337918
1982-02-22,2282.344906568096,2208.946557550932,1500.0,2179.63113086978,2140.1895763167668
1982-03-05,2282.344906568096,2205.2326570335053,1500.0,2180.5286055519014,2140.1895763167668
1982-03-08,2282.344906568096,2193.264972192259,1500.0,2189.432072377188,2150.099080056747
1982-03-13,2282.344906568096,2193.264972192259,1500.0,2189.432072377188,2142.3874525994916
1982-03-15,2282.344906568096,2193.264972192259,1500.0,2190.137541934475,2142.3874525994916
1982-03-22,2282.344906568096,2193.264972192259,1500.0,2190.137541934475,2147.7092082303116
1982-03-29,2282.344906568096,2193.264972192259,1500.0,2197.549547978144,2147.7092082303116
1982-04-05,2267.6474048065816,2193.264972192259,1500.0,2202.023917173696,2147.7092082303116
1982-04-12,2267.6474048065816,2193.264972192259,1500.0,2206.0470726649605,2146.4839423427484
1982-04-20,2267.6474048065816,2194.919981788078,1500.0,2207.6629910097813,2146.4839423427484
1982-04-25,2267.6474048065816,2194.919981788078,1500.0,2207.6629910097813,2148.0212798410835
1982-04-26,2267.6474048065816,2194.919981788078,1500.0,2209.7012279936753,2148.0212798410835
1982-05-02,2267.6474048065816,2190.1385145309255,1500.0,2218.9649915454047,2148.0212798410835
1982-05-10,2267.6474048065816,2190.1385145309255,1500.0,2218.9649915454047,2157.97794113507
1982-05-24,2267.6474048065816,2190.1385145309255,1500.0,2205.622010051501,2139.7144704357006
1982-06-07,2267.6474048065816,2186.014081533539,1500.0,2205.622010051501,2140.5300737459356
1982-06-21,2267.6474048065816,2184.64215067734,1500.0,2205.622010051501,2163.4761874702945
1982-07-09,2267.6474048065816,2178.1053595533836,1500.0,2206.2158118132916,2163.4761874702945
1982-07-12,2267.6474048065816,2178.1053595533836,1500.0,2194.7962223247123,2163.4761874702945
1982-07-19,2267.6474048065816,2178.1053595533836,1500.0,2184.6707282992834,2163.4761874702945
1982-07-26,2267.6474048065816,2178.1053595533836,1500.0,2194.1484882170257,2163.4761874702945
1982-08-03,2267.6474048065816,2178.1053595533836,1500.0,2194.1484882170257,2171.373008204366
1982-08-09,2267.6474048065816,2180.585797790561,1500.0,2209.853372093904,2169.5123365648146
1982-08-16,2267.6474048065816,2175.499766168497,1500.0,2211.1744461769,2170.034972626797
1982-08-31,2267.6474048065816,2166.421330877854,1500.0,2213.4204210967496,2180.232588344118
1982-09-20,2267.6474048065816,2166.704522612488,1500.0,2220.948218716698,2189.378159906114
1982-10-01,2267.6474048065816,2182.887648272086,1500.0,2220.948218716698,2189.378159906114
1982-10-04,2267.6474048065816,2182.887648272086,1500.0,2221.4259140104105,2189.378159906114
1982-10-11,2267.6474048065816,2184.6010733887006,1500.0,2221.4259140104105,2186.2632646640054
1982-10-14,2267.6474048065816,2184.6010733887006,1500.0,2210.9465795514852,2186.2632646640054
1982-10-25,2267.6474048065816,2201.5436235585776,1500.0,2210.9465795514852,2186.2632646640054
1982-11-08,2267.6474048065816,2202.0244110255117,1500.0,2210.9465795514852,2186.2632646640054
1982-11-26,2267.6474048065816,2211.412095987742,1500.0,2210.9465795514852,2186.2632646640054
1982-12-14,2267.6474048065816,2211.412095987742,1500.0,2217.973727855874,2186.2632646640054
1983-01-18,2267.6474048065816,2214.914882644254,1500.0,2221.300262298537,2175.241468546599
1983-01-24,2267.6474048065816,2214.914882644254,1500.0,2235.7503581757956,2175.241468546599
1983-01-31,2267.6474048065816,2224.704602496568,1500.0,2237.503282502355,2175.241468546599
1983-02-07,2267.6474048065816,2225.273627438327,1500.0,2237.503282502355,2175.241468546599
1983-02-14,2267.6474048065816,2225.273627438327,1500.0,2237.503282502355,2176.020128520912
1983-02-21,2267.6474048065816,2225.273627438327,1500.0,2223.836733015563,2186.6113478610496
1983-03-04,2267.6474048065816,2198.750982371838,1500.0,2224.499805429817,2186.6113478610496
1983-03-07,2267.6474048065816,2198.750982371838,1500.0,2226.1279780719374,2174.5632185234917
1983-03-14,2267.6474048065816,2198.750982371838,1500.0,2205.487520558248,2174.5632185234917
1983-03-21,2267.6474048065816,2198.750982371838,1500.0,2212.621651254746,2174.5632185234917
1983-03-28,2254.8917384070323,2198.750982371838,1500.0,2199.3192514179314,2174.5632185234917
1983-04-04,2254.8917384070323,2198.750982371838,1500.0,2205.3356255486806,2174.5632185234917
1983-04-11,2254.8917384070323,2198.750982371838,1500.0,2205.3356255486806,2156.853203414931
1983-04-12,2254.8917384070323,2198.750982371838,1500.0,2212.676250093203,2156.853203414931
1983-04-24,2254.8917384070323,2173.716529244485,1500.0,2212.676250093203,2157.7788952448414
1983-04-26,2254.8917384070323,2188.2925627911322,1500.0,2214.334752508507,2157.7788952448414
1983-05-01,2254.8917384070323,2188.801130757427,1500.0,2208.4590776495597,2157.7788952448414
1983-05-09,2254.8917384070323,2188.801130757427,1500.0,2196.1045208837468,2157.7788952448414
1983-05-23,2254.8917384070323,2190.4909027761505,1500.0,2184.284557317631,2156.0584332132144
1983-06-06,2254.8917384070323,2191.43277546234,1500.0,2180.5835421576403,2156.603868171542
1983-06-20,2254.8917384070323,2204.3972635198056,1500.0,2170.0316597583897,2177.2991248508747
1983-08-08,2254.8917384070323,2194.5394870185482,1500.0,2170.2889154222094,2162.626897126512
1983-08-15,2254.8917384070323,2194.7880063272883,1500.0,2188.1797825954345,2163.3772442194504
