player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Hugo Dellien,32.3,1586.1,1469.2,250.0,1567.3,160.0,1453.8,251.0,1779.8,2022-05,125.0,0.38
Michael Mmoh,27.7,1584.8,1556.4,165.0,1502.3,214.0,1509.3,180.0,1762.3,2017-02,291.0,-0.46
Daniel Elahi Galan,29.2,1582.4,1533.2,183.0,1548.8,171.0,1518.2,170.0,1757.5,2022-09,149.0,0.21
Andrea Pellegrino,28.5,1581.4,1390.9,325.0,1573.1,154.0,1412.6,317.0,1644.1,2025-06,139.0,0.29
Federico Coria,33.4,1580.0,1470.7,245.0,1558.5,168.0,1391.7,354.0,1754.4,2021-07,216.0,-0.15
Adolfo Daniel Vallejo,21.4,1579.6,1395.0,322.0,1575.1,151.0,1539.8,152.0,1593.0,2025-10,168.0,0.11
Yosuke Watanuki,27.5,1579.4,1540.4,175.0,1566.6,163.0,1556.6,132.0,1798.2,2023-05,170.0,0.1
Yi Zhou,20.6,1577.8,1552.3,170.0,1380.7,334.0,1488.9,200.0,1596.9,2025-10,252.0,-0.29
Alvaro Guillen Meza,22.8,1576.1,1328.6,393.0,1563.4,167.0,1468.0,229.0,1587.0,2025-10,213.0,-0.11
Martin Damm,22.0,1574.4,1553.4,168.0,1354.5,367.0,1595.3,100.0,1767.9,1999-11,173.0,0.1
Maximilian Marterer,30.1,1574.4,1525.5,192.0,1563.9,166.0,1507.9,182.0,1815.1,2018-06,664.0,-1.24
Felipe Meligeni Alves,27.3,1574.0,1470.2,246.0,1569.8,155.0,1545.5,143.0,1695.3,2023-10,201.0,-0.04
Pierre Hugues Herbert,34.6,1573.8,1560.6,162.0,1504.8,212.0,1536.9,154.0,1867.9,2019-06,144.0,0.3
Hugo Grenier,29.5,1573.8,1547.6,172.0,1438.4,271.0,1471.0,223.0,1734.0,2022-09,179.0,0.09
Colton Smith,22.6,1572.4,1533.8,181.0,1478.1,236.0,1555.1,133.0,1837.6,2025-06,147.0,0.29
Hyeon Chung,29.4,1571.7,1553.1,169.0,1567.4,159.0,1441.8,273.0,1991.8,2018-03,377.0,-0.65
Kyrian Jacquet,24.4,1569.3,1558.0,164.0,1508.4,207.0,1507.5,183.0,1735.1,2025-02,156.0,0.24
Bernard Tomic,32.9,1568.8,1527.9,190.0,1468.8,244.0,1559.1,129.0,1947.4,2015-03,185.0,0.07
Dhakshineswar Suresh,25.5,1567.1,1532.0,185.0,1393.6,317.0,1483.6,206.0,1616.6,2025-10,528.0,-0.97
Ilya Ivashka,31.4,1566.9,1528.7,187.0,1591.9,142.0,1530.9,160.0,1922.5,2021-09,766.0,-1.34
Gustavo Heide,23.6,1566.3,1446.3,273.0,1554.6,170.0,1452.7,254.0,1661.1,2024-07,341.0,-0.52
Liam Draxl,23.8,1565.7,1536.0,177.0,1518.6,195.0,1443.6,265.0,1699.6,2025-07,118.0,0.54
Daniel Merida Aguilar,21.0,1564.3,1496.4,221.0,1530.4,185.0,1482.1,208.0,1669.8,2025-09,171.0,0.18
Constant Lestienne,33.1,1563.6,1534.7,180.0,1433.6,274.0,1457.5,248.0,1781.3,2023-01,303.0,-0.39
August Holmgren,27.4,1563.1,1507.7,211.0,1421.3,287.0,1621.8,79.0,1677.9,2021-09,169.0,0.2
Brandon Holt,27.5,1562.7,1539.7,176.0,1366.6,353.0,1519.9,168.0,1725.5,2025-02,111.0,0.62
Alexis Galarneau,26.6,1558.6,1530.9,186.0,1432.0,277.0,1498.2,193.0,1631.5,2024-04,187.0,0.11
